# --- Participant Metadata ---
# Participant Label: UF5acqXG1TMyeOucj9E0UVgvpmn2
# Session ID: 1763895027484
# Session Date: 2025-11-23T10:50:27.484Z
# Consent Accepted: YES
# Consent Timestamp: N/A
# Survey Age Check: YES
# Survey Webcam Check: YES
# Survey Games Played: Fortnite (포트나이트 - 제로 빌드/FPS 모드); 오버워치 2 (Overwatch 2)
# Survey Main Game: 오버워치 2 (Overwatch 2)
# Survey Main Game (Other): N/A
# Survey Aim Trainer Usage: no
# Survey Rank: 골드
# Survey Play Time: 500-1000시간
# Survey Self-Assessment: 5

# --- System & Calibration ---
# Calibration Status: validated
# Validation Error (px): 46.48
# Validation Avg. StdDev (px): 58.97
# Calibration Completed At: 2025-11-23T10:49:22.234Z
# Screen Size: 2400x1391

# --- Training Summary ---
# Duration (s): 60
# Score: 41
# Accuracy (%): 89.13
# Targets Hit: 41/46
# Avg Reaction Time (ms): 1176.46
# Gaze Accuracy (%): 15.46
# Mouse Accuracy (%): 42.75

# --- Individual Task Results ---
# No structured task results were recorded for this session.

# --- Raw Gaze & Mouse Data ---
timestamp,taskId,targetX,targetY,gazeX,gazeY,mouseX,mouseY,targetHit
144000.5,1,,,1220.992199723073,814.1794136195878,1200,695.5,false
144218.09999999404,target-1763894967441-0.283608625190893,1175.9057408974186,331.68272555693534,1201.0796350739179,843.1980207124413,1200,695.5,false
144318.39999997616,target-1763894967441-0.283608625190893,1158.8330064980548,327.2940547468494,1318.6896431641396,836.9441460578631,1200,695.5,false
144440.89999997616,target-1763894967441-0.283608625190893,1155.9231522514842,323.6369564368728,1326.8337047800694,749.1823733218249,1200,695.5,false
144555.89999997616,target-1763894967441-0.283608625190893,1232.6415696516995,287.41468497633014,1271.867591037646,763.3043910642075,1200,695.5,false
144673.5,target-1763894967441-0.283608625190893,1203.5658365712998,431.9552434945608,1162.9099530082328,690.0865315693998,1200,695.5,false
144792,target-1763894967441-0.283608625190893,1157.9079305308264,563.8303941553263,1099.2737430917743,662.7060754947316,1200,695.5,false
144901.79999998212,target-1763894967441-0.283608625190893,1133.4683370792973,636.5839478489883,975.5555541465835,669.0508705975851,1200,695.5,false
145024.09999999404,target-1763894967441-0.283608625190893,1161.1199784754483,679.5024381621294,947.864600034908,661.7401313391786,1200,695.5,false
145151.89999997616,target-1763894967441-0.283608625190893,1176.038180684352,704.885703971594,1071.802984454756,506.54452626544514,1200,695.5,false
145245.29999998212,target-1763894967441-0.283608625190893,1200.8539988319078,705.0950983610553,,,,,true
145271.39999997616,target-1763894968495-0.7638859352177435,1372.550980673018,793.3595798304094,1109.491553770258,393.3639428531087,1200,695.5,false
