# --- Participant Metadata ---
# Participant Label: GBAoTgCfh7h220ouLSwo29lDWJu2
# Session ID: 1764161837710
# Session Date: 2025-11-26T12:57:17.710Z
# Consent Accepted: YES
# Consent Timestamp: N/A
# Survey Age Check: YES
# Survey Webcam Check: YES
# Survey Games Played: 위 목록에 없음 (플레이하는 주력 FPS 기재)
# Survey Main Game: 위 목록에 없음 (플레이하는 주력 FPS 기재)
# Survey Main Game (Other): lol, 매우가끔 오버워치/배그
# Survey Aim Trainer Usage: no
# Survey Rank: 브론즈
# Survey Play Time: < 100시간
# Survey Self-Assessment: 1

# --- System & Calibration ---
# Calibration Status: validated
# Validation Error (px): 73.50
# Validation Avg. StdDev (px): 46.36
# Calibration Completed At: 2025-11-26T12:56:07.880Z
# Screen Size: 1920x911

# --- Training Summary ---
# Duration (s): 60
# Score: 21
# Accuracy (%): 56.76
# Targets Hit: 21/37
# Avg Reaction Time (ms): 1350.50
# Gaze Accuracy (%): 2.54
# Mouse Accuracy (%): 53.94

# --- Individual Task Results ---
# No structured task results were recorded for this session.

# --- Raw Gaze & Mouse Data ---
timestamp,taskId,targetX,targetY,gazeX,gazeY,mouseX,mouseY,targetHit
309481,1,,,926.3782362755289,663.1989335618182,960,455.5,false
310100.2999999523,target-1764161777652-0.12004662257572307,1074.9117972762747,252.0246724453357,966.2616788365954,597.5429107764626,960,455.5,false
310360,target-1764161777652-0.12004662257572307,938.1333489727075,289.1894931910853,1033.4418195914966,594.7985159994757,960,455.5,false
310508,target-1764161777652-0.12004662257572307,912.9503916254224,288.3918887327734,929.9882886352357,564.5812098668023,960,455.5,false
310653.60000002384,target-1764161777652-0.12004662257572307,916.3173136206887,346.21431355082024,945.722625073331,587.018663206503,960,455.5,false
310800.5,target-1764161777652-0.12004662257572307,916.3173136206887,346.21431355082024,1021.0080774032542,600.678156344688,960,455.5,false
310962.2999999523,target-1764161777652-0.12004662257572307,911.0357294126621,344.0627878746194,973.306572758028,628.9904108865961,960,455.5,false
311101.7999999523,target-1764161777652-0.12004662257572307,942.8242764422724,452.79012019905593,983.0126914732823,606.0391338649093,960,455.5,false
311242.7000000477,target-1764161777652-0.12004662257572307,959.6293258340672,489.42860005215863,987.9260863981943,592.1085082598618,960,455.5,false
311408.60000002384,target-1764161777652-0.12004662257572307,961.3106435337365,467.50410953452547,970.1975198571008,596.5733295597958,960,455.5,false
311577.2999999523,target-1764161777652-0.12004662257572307,961.3101922486767,456.56933363542635,881.0717939118899,593.6153303455791,960,455.5,false
311754.2999999523,target-1764161777652-0.12004662257572307,964.6923700598891,410.8680486705337,875.8960231617225,531.7421416554163,960,455.5,false
311915,target-1764161779458-0.20315097815647531,1259.7192151153552,369.2049493717335,854.3839263836068,494.89196949569566,960,455.5,false
312103.7000000477,target-1764161779458-0.20315097815647531,1264.8491524083083,386.242333568986,889.4175792079576,592.2729262733313,960,455.5,false
312284,target-1764161779458-0.20315097815647531,1257.1218375688852,433.41834870545114,848.7037319206831,637.1412724072965,960,455.5,false
312475.89999997616,target-1764161779458-0.20315097815647531,1169.426146105298,439.16375113106585,894.7407594556378,711.8036155665025,960,455.5,false
312667.7000000477,target-1764161779458-0.20315097815647531,956.0689428774501,429.5700824170634,993.0228868684036,730.2796119226931,960,455.5,false
312825.89999997616,target-1764161779458-0.20315097815647531,939.2864166140495,453.09167674539094,900.1950284174563,674.0273791673329,960,455.5,false
312978.89999997616,target-1764161779458-0.20315097815647531,981.2761408791209,476.7826399139708,893.6795269910431,647.7201626622153,960,455.5,false
313138.10000002384,target-1764161779458-0.20315097815647531,991.3498717227689,458.3004961821744,837.2832041918726,617.583462661198,960,455.5,false
313246.7999999523,target-1764161779458-0.20315097815647531,991.3498717227689,458.3004961821744,854.2526060513621,652.4821541590997,960,455.5,false
313421.39999997616,target-1764161779458-0.20315097815647531,974.5363664364806,445.9035488023338,924.7584838079581,727.0782036545669,960,455.5,false
313587.60000002384,target-1764161779458-0.20315097815647531,956.0720176401584,436.87566925771216,944.1131689552748,703.9741364468798,960,455.5,false
313775.2000000477,target-1764161779458-0.20315097815647531,969.4972020231187,455.0712473841022,924.5136857101763,668.6581344432166,960,455.5,false
313935.2999999523,target-1764161781403-0.826849298275784,865.2485162198519,495.0672202084899,888.3980328948992,606.7360255558399,960,455.5,false
314094.5,target-1764161781403-0.826849298275784,865.2485162198519,495.0672202084899,868.9886570374229,594.9968122673101,960,455.5,false
314195.5,target-1764161781403-0.826849298275784,869.0938435770918,477.00351378193056,850.2445008731883,631.9849495164292,960,455.5,false
314363.10000002384,target-1764161781403-0.826849298275784,1053.9432722204333,388.9211026445994,824.0078189691375,605.5281035814138,960,455.5,false
314529.60000002384,target-1764161781403-0.826849298275784,1064.5174445271423,401.1222264222309,812.9137969723477,572.2267287028774,960,455.5,false
314696.2000000477,target-1764161781403-0.826849298275784,916.8444634405971,457.43827481128983,937.4086070712422,570.1457736456116,960,455.5,false
314851.10000002384,target-1764161781403-0.826849298275784,890.4916909365269,472.76656280933474,962.697075715226,545.0870601659715,960,455.5,false
315034.7999999523,target-1764161781403-0.826849298275784,913.3563450172387,457.3239648391255,971.7894503338257,583.706923665718,960,455.5,false
315189.7000000477,target-1764161781403-0.826849298275784,961.8996856689091,456.2961563809048,879.7965649017079,634.4263076683645,960,455.5,false
315338,target-1764161781403-0.826849298275784,961.8996856689091,456.2961563809048,852.0523087081369,649.4249281279657,960,455.5,false
315424.7999999523,target-1764161781403-0.826849298275784,961.899862305025,461.7625501240686,,,,,true
315510.60000002384,target-1764161783048-0.5587122134662206,719.8974237310424,421.13782517380116,913.8149368222363,672.3539323167407,960,455.5,false
315680.7999999523,target-1764161783048-0.5587122134662206,715.57568342913,420.35921919521525,816.2471154683459,695.9229267567017,960,455.5,false
315818.7999999523,target-1764161783048-0.5587122134662206,715.57568342913,420.35921919521525,758.9462517781776,694.4750674076075,960,455.5,false
316006.5,target-1764161783048-0.5587122134662206,884.0738164410782,445.0451260225087,792.4521641474932,688.6495908105003,960,455.5,false
316164.2999999523,target-1764161783048-0.5587122134662206,976.7675633709068,465.5309555294242,722.6881565374267,658.9442357716306,960,455.5,false
316313.10000002384,target-1764161783048-0.5587122134662206,988.7329080158614,468.9516196170562,746.1973545736146,637.2583717461783,960,455.5,false
316476.7000000477,target-1764161783048-0.5587122134662206,973.3520882584189,458.28402224117394,808.9401993922932,648.683222406087,960,455.5,false
316617.10000002384,target-1764161783048-0.5587122134662206,959.7154940718203,447.42513783733096,833.440217265931,640.9767873000909,960,455.5,false
316720.7000000477,target-1764161783048-0.5587122134662206,959.7154940718203,447.42513783733096,,,,,true
316769.2000000477,target-1764161784321-0.19211481978044942,1203.0942667808522,163.65623895497495,845.865841185487,650.4446340991899,960,455.5,false
316957.7000000477,target-1764161784321-0.19211481978044942,1204.9073914123114,162.7374526682677,883.1363092811412,637.6614733591222,960,455.5,false
317123.60000002384,target-1764161784321-0.19211481978044942,1204.9073914123114,162.7374526682677,908.3851278376101,613.6046784134214,960,455.5,false
317276.7999999523,target-1764161784321-0.19211481978044942,907.3437751698158,401.5184669533768,952.4080625715609,499.58081340652836,960,455.5,false
317427.89999997616,target-1764161784321-0.19211481978044942,877.7309664063537,516.0566392929611,981.8047479840393,482.3894133941668,960,455.5,false
317606.5,target-1764161784321-0.19211481978044942,949.3609786858085,492.31146433839206,940.0880103943359,506.7130106856615,960,455.5,false
317755.7999999523,target-1764161784321-0.19211481978044942,984.7184469778539,477.1018254353238,852.260897751427,533.7158144025865,960,455.5,false
317910,target-1764161784321-0.19211481978044942,984.7139565210675,475.27606422404824,769.995392882449,616.8129346833057,960,455.5,false
318069.7999999523,target-1764161784321-0.19211481978044942,964.5180262826461,452.25309638652556,829.162012180612,613.3084713086188,960,455.5,false
318143.5,target-1764161784321-0.19211481978044942,964.5180262826461,452.25309638652556,,,,,true
318211.5,target-1764161785762-0.18938498852127217,73.76143268615401,439.28473185408694,841.2320416351636,665.7782980911683,960,455.5,false
318379.5,target-1764161785762-0.18938498852127217,73.76143268615401,439.28473185408694,958.5573448193261,745.3680394080866,960,455.5,false
318545.5,target-1764161785762-0.18938498852127217,73.76143268615401,439.28473185408694,958.3945259107984,729.4804781004798,960,455.5,false
318733.2000000477,target-1764161785762-0.18938498852127217,807.5516256424526,568.5667337729358,876.6844387649222,702.1647664852958,960,455.5,false
318879.60000002384,target-1764161785762-0.18938498852127217,1086.1132685451648,553.976163139775,846.1675719850209,653.9014677382909,960,455.5,false
319024.39999997616,target-1764161785762-0.18938498852127217,1086.2234328095665,555.8849836650858,848.5880477998589,607.8274736625535,960,455.5,false
319200.89999997616,target-1764161785762-0.18938498852127217,991.9035045339635,529.5024889969586,920.6109322306248,613.2301577265829,960,455.5,false
319353.10000002384,target-1764161785762-0.18938498852127217,933.0674548871789,488.94417926076403,1000.220445095506,639.3456386749784,960,455.5,false
319509.60000002384,target-1764161785762-0.18938498852127217,927.925572377169,481.50437826626415,999.6319962780354,661.5927084153418,960,455.5,false
319651.7999999523,target-1764161785762-0.18938498852127217,941.723511772169,467.17610691612344,921.1785860169501,664.2991564302787,960,455.5,false
319811.39999997616,target-1764161785762-0.18938498852127217,948.5885243920436,467.2567405556424,896.0888241572918,650.0456231531298,960,455.5,false
319961.60000002384,target-1764161785762-0.18938498852127217,948.5885243920436,467.2567405556424,841.8265973638734,647.2992421461904,960,455.5,false
320126.7999999523,target-1764161787678-0.3792563067417043,948.9830648243347,442.5322507333843,811.3208893587558,642.1491055951235,960,455.5,false
320229.60000002384,target-1764161787678-0.3792563067417043,952.3662028896583,437.08741907942283,788.4331504368507,639.3510891819868,960,455.5,false
320378.89999997616,target-1764161787678-0.3792563067417043,952.3662028896583,437.08741907942283,775.8580769501679,648.7278081565696,960,455.5,false
320523.60000002384,target-1764161787678-0.3792563067417043,954.059730798882,437.0975069079591,785.7308910274405,656.838304421661,960,455.5,false
320684.60000002384,target-1764161787678-0.3792563067417043,960.8327358519759,437.11268839173545,799.1607590885194,659.9390912649652,960,455.5,false
320858,target-1764161787678-0.3792563067417043,969.2949855892427,444.37086501899256,820.6910818635488,643.4960673380735,960,455.5,false
321000.2000000477,target-1764161787678-0.3792563067417043,969.2949855892427,444.37086501899256,849.0896597522943,644.8341662620023,960,455.5,false
321143.60000002384,target-1764161787678-0.3792563067417043,969.2949855892427,444.37086501899256,863.1838968772175,647.3583685983882,960,455.5,false
321291.7000000477,target-1764161787678-0.3792563067417043,969.2949855892427,444.37086501899256,841.9896966537242,626.3029540528046,960,455.5,false
321437.2000000477,target-1764161787678-0.3792563067417043,967.6014633406415,446.20633369071754,870.1028934819885,611.9124069938072,960,455.5,false
321524.2999999523,target-1764161787678-0.3792563067417043,959.1402544091833,453.5206331257338,,,,,true
321595.39999997616,target-1764161789146-0.9980197774609565,840.2034163659171,415.33021943202914,872.1858786916856,623.2673410194716,960,455.5,false
321698.39999997616,target-1764161789146-0.9980197774609565,840.2034163659171,415.33021943202914,873.9286691417112,628.7960395737673,960,455.5,false
321846.2999999523,target-1764161789146-0.9980197774609565,840.2034163659171,415.33021943202914,806.4450989142787,633.1648097868754,960,455.5,false
321977.7000000477,target-1764161789146-0.9980197774609565,840.2034163659171,415.33021943202914,797.5920059682778,662.7041912726875,960,455.5,false
322125.7999999523,target-1764161789146-0.9980197774609565,928.1069359760597,424.152949907757,767.2369170623853,641.3809003767956,960,455.5,false
322275.39999997616,target-1764161789146-0.9980197774609565,939.6719867313163,435.44028723435133,793.3899062966067,626.5179817768663,960,455.5,false
322432.10000002384,target-1764161789146-0.9980197774609565,941.3300104191319,446.4180806569075,822.2345342415757,614.3404219802339,960,455.5,false
322582.5,target-1764161789146-0.9980197774609565,944.6164649167563,453.7667460947162,841.6714383543705,628.3993251637139,960,455.5,false
322690.7000000477,target-1764161789146-0.9980197774609565,954.4578452902696,457.52036356975617,,,,,true
322738.89999997616,target-1764161790291-0.9340386711228572,963.7727149644847,363.3048709148304,876.5230198511732,635.3723667281527,960,455.5,false
322890.2999999523,target-1764161790291-0.9340386711228572,966.7311038122284,359.4791553720027,876.5771287836442,641.3122996524668,960,455.5,false
323063.5,target-1764161790291-0.9340386711228572,957.8752957067228,359.5135980219265,881.7512249804764,615.3688070287211,960,455.5,false
323216.10000002384,target-1764161790291-0.9340386711228572,934.5292863434029,389.051715247465,881.5027032816076,593.3142491088904,960,455.5,false
323365,target-1764161790291-0.9340386711228572,950.6902238631017,435.51750491131475,880.0888433858327,601.2714324055828,960,455.5,false
323511.2999999523,target-1764161790291-0.9340386711228572,952.1386722911265,439.1882667547325,882.1475532481568,587.6295476042001,960,455.5,false
323663.7000000477,target-1764161790291-0.9340386711228572,956.4757488340581,444.70084334091484,836.2618963086146,592.5689731807196,960,455.5,false
323819.7999999523,target-1764161790291-0.9340386711228572,963.6977320153095,455.6338022663788,798.3345617301045,627.1059796372932,960,455.5,false
